name,district,division,latitude,longitude,email,phone
"Darussalam Police Station","Dhaka","Dhaka",23.7621,90.3420,noorlabib@iut-dhaka.edu,01886709707
"Gandaria Police Station","Dhaka","Dhaka",23.8205,90.4813,noorlabib@iut-dhaka.edu,01886709707
"Hazaribagh Police Station","Dhaka","Dhaka",23.8067,90.4076,noorlabib@iut-dhaka.edu,01886709707
"Kalabagan Police Station","Dhaka","Dhaka",23.7977,90.4155,noorlabib@iut-dhaka.edu,01886709707
"Paltan Police Station","Dhaka","Dhaka",23.7796,90.3851,noorlabib@iut-dhaka.edu,01886709707
"Shahjahanpur Police Station","Dhaka","Dhaka",23.7621,90.3577,noorlabib@iut-dhaka.edu,01886709707
"Vatara Police Station","Dhaka","Dhaka",23.8816,90.3817,noorlabib@iut-dhaka.edu,01886709707
"Gazipur Sadar Police Station","Gazipur","Dhaka",24.0023,90.4264,noorlabib@iut-dhaka.edu,01886709707
"Tongi Police Station","Gazipur","Dhaka",23.9614,90.4486,noorlabib@iut-dhaka.edu,01886709707
"Kaliakair Police Station","Gazipur","Dhaka",24.0591,90.4269,noorlabib@iut-dhaka.edu,01886709707
"Kapasia Police Station","Gazipur","Dhaka",23.9482,90.4318,noorlabib@iut-dhaka.edu,01886709707
"Sreepur Police Station","Gazipur","Dhaka",23.9496,90.3785,noorlabib@iut-dhaka.edu,01886709707
"Kaliganj Police Station","Gazipur","Dhaka",24.0510,90.3624,noorlabib@iut-dhaka.edu,01886709707
"Joydebpur Police Station","Gazipur","Dhaka",23.9523,90.4988,noorlabib@iut-dhaka.edu,01886709707
"Gacha Police Station","Gazipur","Dhaka",24.0250,90.4823,noorlabib@iut-dhaka.edu,01886709707
"Bason Police Station","Gazipur","Dhaka",24.0555,90.4063,noorlabib@iut-dhaka.edu,01886709707
"Konabari Police Station","Gazipur","Dhaka",24.0260,90.4527,noorlabib@iut-dhaka.edu,01886709707
"Kashimpur Police Station","Gazipur","Dhaka",24.0699,90.4705,noorlabib@iut-dhaka.edu,01886709707
"Pubail Police Station","Gazipur","Dhaka",24.0637,90.3818,noorlabib@iut-dhaka.edu,01886709707
"Narayanganj Sadar Police Station","Narayanganj","Dhaka",23.6337,90.4965,noorlabib@iut-dhaka.edu,01886709707
"Fatullah Police Station","Narayanganj","Dhaka",23.6254,90.5004,noorlabib@iut-dhaka.edu,01886709707
"Siddhirganj Police Station","Narayanganj","Dhaka",23.6508,90.4570,noorlabib@iut-dhaka.edu,01886709707
"Bandar Police Station","Narayanganj","Dhaka",23.6855,90.4828,noorlabib@iut-dhaka.edu,01886709707
"Rupganj Police Station","Narayanganj","Dhaka",23.5590,90.4772,noorlabib@iut-dhaka.edu,01886709707
"Araihazar Police Station","Narayanganj","Dhaka",23.6761,90.4909,noorlabib@iut-dhaka.edu,01886709707
"Sonargaon Police Station","Narayanganj","Dhaka",23.6991,90.4731,noorlabib@iut-dhaka.edu,01886709707
"Tangail Sadar Police Station","Tangail","Dhaka",24.2636,89.9179,noorlabib@iut-dhaka.edu,01886709707
"Sakhipur Police Station","Tangail","Dhaka",24.2364,89.9855,noorlabib@iut-dhaka.edu,01886709707
"Basail Police Station","Tangail","Dhaka",24.2059,89.9612,noorlabib@iut-dhaka.edu,01886709707
"Madhupur Police Station","Tangail","Dhaka",24.2628,89.8868,noorlabib@iut-dhaka.edu,01886709707
"Ghatail Police Station","Tangail","Dhaka",24.2497,89.9545,noorlabib@iut-dhaka.edu,01886709707
"Kalihati Police Station","Tangail","Dhaka",24.3139,89.9359,noorlabib@iut-dhaka.edu,01886709707
"Nagarpur Police Station","Tangail","Dhaka",24.2994,89.8814,noorlabib@iut-dhaka.edu,01886709707
"Mirzapur Police Station","Tangail","Dhaka",24.1942,89.8655,noorlabib@iut-dhaka.edu,01886709707
"Gopalpur Police Station","Tangail","Dhaka",24.3045,89.8821,noorlabib@iut-dhaka.edu,01886709707
"Delduar Police Station","Tangail","Dhaka",24.3245,89.8449,noorlabib@iut-dhaka.edu,01886709707
"Bhuapur Police Station","Tangail","Dhaka",24.2251,89.8876,noorlabib@iut-dhaka.edu,01886709707
"Dhanbari Police Station","Tangail","Dhaka",24.3180,89.9579,noorlabib@iut-dhaka.edu,01886709707
"Narsingdi Sadar Police Station","Narsingdi","Dhaka",23.9322,90.7154,noorlabib@iut-dhaka.edu,01886709707
"Belabo Police Station","Narsingdi","Dhaka",23.9034,90.7096,noorlabib@iut-dhaka.edu,01886709707
"Monohardi Police Station","Narsingdi","Dhaka",23.9495,90.7674,noorlabib@iut-dhaka.edu,01886709707
"Palash Police Station","Narsingdi","Dhaka",23.9764,90.6832,noorlabib@iut-dhaka.edu,01886709707
"Raipura Police Station","Narsingdi","Dhaka",23.8681,90.7901,noorlabib@iut-dhaka.edu,01886709707
"Shibpur Police Station","Narsingdi","Dhaka",23.8920,90.7099,noorlabib@iut-dhaka.edu,01886709707
"Manikganj Sadar Police Station","Manikganj","Dhaka",23.8644,90.0047,noorlabib@iut-dhaka.edu,01886709707
"Singair Police Station","Manikganj","Dhaka",23.8759,90.0177,noorlabib@iut-dhaka.edu,01886709707
"Shibalaya Police Station","Manikganj","Dhaka",23.9194,90.0048,noorlabib@iut-dhaka.edu,01886709707
"Saturia Police Station","Manikganj","Dhaka",23.8492,90.0745,noorlabib@iut-dhaka.edu,01886709707
"Harirampur Police Station","Manikganj","Dhaka",23.7945,89.9347,noorlabib@iut-dhaka.edu,01886709707
"Ghior Police Station","Manikganj","Dhaka",23.8029,90.0078,noorlabib@iut-dhaka.edu,01886709707
"Daulatpur Police Station","Manikganj","Dhaka",23.8290,90.0486,noorlabib@iut-dhaka.edu,01886709707
"Munshiganj Sadar Police Station","Munshiganj","Dhaka",23.5422,90.5305,noorlabib@iut-dhaka.edu,01886709707
"Sreenagar Police Station","Munshiganj","Dhaka",23.5603,90.5014,noorlabib@iut-dhaka.edu,01886709707
"Sirajdikhan Police Station","Munshiganj","Dhaka",23.6152,90.5446,noorlabib@iut-dhaka.edu,01886709707
"Louhajang Police Station","Munshiganj","Dhaka",23.6144,90.4991,noorlabib@iut-dhaka.edu,01886709707
"Gajaria Police Station","Munshiganj","Dhaka",23.4926,90.5588,noorlabib@iut-dhaka.edu,01886709707
"Tongibari Police Station","Munshiganj","Dhaka",23.5614,90.4907,noorlabib@iut-dhaka.edu,01886709707
"Faridpur Sadar Police Station","Faridpur","Dhaka",23.6071,89.8429,noorlabib@iut-dhaka.edu,01886709707
"Boalmari Police Station","Faridpur","Dhaka",23.5456,89.8695,noorlabib@iut-dhaka.edu,01886709707
"Alfadanga Police Station","Faridpur","Dhaka",23.6690,89.8787,noorlabib@iut-dhaka.edu,01886709707
"Madhukhali Police Station","Faridpur","Dhaka",23.6263,89.8138,noorlabib@iut-dhaka.edu,01886709707
"Bhanga Police Station","Faridpur","Dhaka",23.5434,89.8120,noorlabib@iut-dhaka.edu,01886709707
"Nagarkanda Police Station","Faridpur","Dhaka",23.6156,89.9051,noorlabib@iut-dhaka.edu,01886709707
"Charbhadrasan Police Station","Faridpur","Dhaka",23.5828,89.9048,noorlabib@iut-dhaka.edu,01886709707
"Sadarpur Police Station","Faridpur","Dhaka",23.6665,89.7710,noorlabib@iut-dhaka.edu,01886709707
"Saltha Police Station","Faridpur","Dhaka",23.6540,89.8556,noorlabib@iut-dhaka.edu,01886709707
"Gopalganj Sadar Police Station","Gopalganj","Dhaka",23.0051,89.8266,noorlabib@iut-dhaka.edu,01886709707
"Kashiani Police Station","Gopalganj","Dhaka",22.9789,89.7906,noorlabib@iut-dhaka.edu,01886709707
"Kotalipara Police Station","Gopalganj","Dhaka",23.0180,89.9000,noorlabib@iut-dhaka.edu,01886709707
"Muksudpur Police Station","Gopalganj","Dhaka",23.0171,89.8556,noorlabib@iut-dhaka.edu,01886709707
"Tungipara Police Station","Gopalganj","Dhaka",23.0467,89.7519,noorlabib@iut-dhaka.edu,01886709707
"Madaripur Sadar Police Station","Madaripur","Dhaka",23.1641,90.1897,noorlabib@iut-dhaka.edu,01886709707
"Kalkini Police Station","Madaripur","Dhaka",23.2261,90.2366,noorlabib@iut-dhaka.edu,01886709707
"Rajoir Police Station","Madaripur","Dhaka",23.1331,90.1578,noorlabib@iut-dhaka.edu,01886709707
"Shibchar Police Station","Madaripur","Dhaka",23.1524,90.1775,noorlabib@iut-dhaka.edu,01886709707
"Rajbari Sadar Police Station","Rajbari","Dhaka",23.7574,89.6445,noorlabib@iut-dhaka.edu,01886709707
"Goalanda Police Station","Rajbari","Dhaka",23.7225,89.5916,noorlabib@iut-dhaka.edu,01886709707
"Pangsha Police Station","Rajbari","Dhaka",23.7356,89.5932,noorlabib@iut-dhaka.edu,01886709707
"Baliakandi Police Station","Rajbari","Dhaka",23.7488,89.6193,noorlabib@iut-dhaka.edu,01886709707
"Kalukhali Police Station","Rajbari","Dhaka",23.7174,89.6968,noorlabib@iut-dhaka.edu,01886709707
"Shariatpur Sadar Police Station","Shariatpur","Dhaka",23.2423,90.4348,noorlabib@iut-dhaka.edu,01886709707
"Naria Police Station","Shariatpur","Dhaka",23.3019,90.3714,noorlabib@iut-dhaka.edu,01886709707
"Zajira Police Station","Shariatpur","Dhaka",23.1852,90.5086,noorlabib@iut-dhaka.edu,01886709707
"Gosairhat Police Station","Shariatpur","Dhaka",23.2490,90.4566,noorlabib@iut-dhaka.edu,01886709707
"Bhedarganj Police Station","Shariatpur","Dhaka",23.2540,90.4893,noorlabib@iut-dhaka.edu,01886709707
"Damudya Police Station","Shariatpur","Dhaka",23.2016,90.4960,noorlabib@iut-dhaka.edu,01886709707
"Kishoreganj Sadar Police Station","Kishoreganj","Dhaka",24.4449,90.7766,noorlabib@iut-dhaka.edu,01886709707
"Hossainpur Police Station","Kishoreganj","Dhaka",24.3993,90.8174,noorlabib@iut-dhaka.edu,01886709707
"Pakundia Police Station","Kishoreganj","Dhaka",24.4732,90.7218,noorlabib@iut-dhaka.edu,01886709707
"Katiadi Police Station","Kishoreganj","Dhaka",24.3831,90.7410,noorlabib@iut-dhaka.edu,01886709707
"Karimganj Police Station","Kishoreganj","Dhaka",24.5013,90.7214,noorlabib@iut-dhaka.edu,01886709707
"Tarail Police Station","Kishoreganj","Dhaka",24.5106,90.8494,noorlabib@iut-dhaka.edu,01886709707
"Itna Police Station","Kishoreganj","Dhaka",24.4315,90.7323,noorlabib@iut-dhaka.edu,01886709707
"Mithamain Police Station","Kishoreganj","Dhaka",24.5030,90.7608,noorlabib@iut-dhaka.edu,01886709707
"Austagram Police Station","Kishoreganj","Dhaka",24.3810,90.7071,noorlabib@iut-dhaka.edu,01886709707
"Nikli Police Station","Kishoreganj","Dhaka",24.4842,90.8023,noorlabib@iut-dhaka.edu,01886709707
"Bajitpur Police Station","Kishoreganj","Dhaka",24.4674,90.7207,noorlabib@iut-dhaka.edu,01886709707
"Kuliarchar Police Station","Kishoreganj","Dhaka",24.5146,90.7421,noorlabib@iut-dhaka.edu,01886709707
"Bhairab Police Station","Kishoreganj","Dhaka",24.3767,90.8197,noorlabib@iut-dhaka.edu,01886709707
"Kotwali Police Station","Chattogram","Chattogram",22.3569,91.7832,noorlabib@iut-dhaka.edu,01886709707
"Panchlaish Police Station","Chattogram","Chattogram",22.3203,91.8139,noorlabib@iut-dhaka.edu,01886709707
"Double Mooring Police Station","Chattogram","Chattogram",22.3957,91.8399,noorlabib@iut-dhaka.edu,01886709707
"Pahartali Police Station","Chattogram","Chattogram",22.3493,91.7625,noorlabib@iut-dhaka.edu,01886709707
"Khulshi Police Station","Chattogram","Chattogram",22.3305,91.7884,noorlabib@iut-dhaka.edu,01886709707
"Patenga Police Station","Chattogram","Chattogram",22.4156,91.8028,noorlabib@iut-dhaka.edu,01886709707
"Halishahar Police Station","Chattogram","Chattogram",22.4028,91.7581,noorlabib@iut-dhaka.edu,01886709707
"Bandar Police Station","Chattogram","Chattogram",22.3838,91.8443,noorlabib@iut-dhaka.edu,01886709707
"Chandgaon Police Station","Chattogram","Chattogram",22.4144,91.7992,noorlabib@iut-dhaka.edu,01886709707
"Karnaphuli Police Station","Chattogram","Chattogram",22.4296,91.7451,noorlabib@iut-dhaka.edu,01886709707
"Bakalia Police Station","Chattogram","Chattogram",22.3618,91.7339,noorlabib@iut-dhaka.edu,01886709707
"Akbarshah Police Station","Chattogram","Chattogram",22.3400,91.7154,noorlabib@iut-dhaka.edu,01886709707
"Bayazid Bostami Police Station","Chattogram","Chattogram",22.3449,91.7828,noorlabib@iut-dhaka.edu,01886709707
"EPZ Police Station","Chattogram","Chattogram",22.3842,91.7840,noorlabib@iut-dhaka.edu,01886709707
"Sadarghat Police Station","Chattogram","Chattogram",22.4143,91.7445,noorlabib@iut-dhaka.edu,01886709707
"Raozan Police Station","Chattogram","Chattogram",22.4010,91.7986,noorlabib@iut-dhaka.edu,01886709707
"Rangunia Police Station","Chattogram","Chattogram",22.3057,91.7707,noorlabib@iut-dhaka.edu,01886709707
"Fatikchhari Police Station","Chattogram","Chattogram",22.3515,91.8072,noorlabib@iut-dhaka.edu,01886709707
"Hathazari Police Station","Chattogram","Chattogram",22.3066,91.8555,noorlabib@iut-dhaka.edu,01886709707
"Mirsharai Police Station","Chattogram","Chattogram",22.3486,91.8015,noorlabib@iut-dhaka.edu,01886709707
"Sitakunda Police Station","Chattogram","Chattogram",22.3042,91.7097,noorlabib@iut-dhaka.edu,01886709707
"Lohagara Police Station","Chattogram","Chattogram",22.3714,91.7318,noorlabib@iut-dhaka.edu,01886709707
"Satkania Police Station","Chattogram","Chattogram",22.4262,91.8338,noorlabib@iut-dhaka.edu,01886709707
"Boalkhali Police Station","Chattogram","Chattogram",22.3142,91.7191,noorlabib@iut-dhaka.edu,01886709707
"Anwara Police Station","Chattogram","Chattogram",22.2925,91.7466,noorlabib@iut-dhaka.edu,01886709707
"Banshkhali Police Station","Chattogram","Chattogram",22.4197,91.7099,noorlabib@iut-dhaka.edu,01886709707
"Patiya Police Station","Chattogram","Chattogram",22.4280,91.7873,noorlabib@iut-dhaka.edu,01886709707
"Sandwip Police Station","Chattogram","Chattogram",22.3928,91.8273,noorlabib@iut-dhaka.edu,01886709707
"Bhujpur Police Station","Chattogram","Chattogram",22.3866,91.7867,noorlabib@iut-dhaka.edu,01886709707
"Jorarganj Police Station","Chattogram","Chattogram",22.3979,91.7911,noorlabib@iut-dhaka.edu,01886709707
"Cox's Bazar Sadar Police Station","Cox's Bazar","Chattogram",21.4272,92.0058,noorlabib@iut-dhaka.edu,01886709707
"Chakaria Police Station","Cox's Bazar","Chattogram",21.4263,91.9440,noorlabib@iut-dhaka.edu,01886709707
"Maheshkhali Police Station","Cox's Bazar","Chattogram",21.4488,92.0134,noorlabib@iut-dhaka.edu,01886709707
"Teknaf Police Station","Cox's Bazar","Chattogram",21.4016,92.0405,noorlabib@iut-dhaka.edu,01886709707
"Ramu Police Station","Cox's Bazar","Chattogram",21.4286,91.9821,noorlabib@iut-dhaka.edu,01886709707
"Kutubdia Police Station","Cox's Bazar","Chattogram",21.4954,92.0446,noorlabib@iut-dhaka.edu,01886709707
"Ukhiya Police Station","Cox's Bazar","Chattogram",21.3759,91.9601,noorlabib@iut-dhaka.edu,01886709707
"Pekua Police Station","Cox's Bazar","Chattogram",21.4056,91.9718,noorlabib@iut-dhaka.edu,01886709707
"Cumilla Sadar Police Station","Cumilla","Chattogram",23.4607,91.1809,noorlabib@iut-dhaka.edu,01886709707
"Laksam Police Station","Cumilla","Chattogram",23.5111,91.2056,noorlabib@iut-dhaka.edu,01886709707
"Debidwar Police Station","Cumilla","Chattogram",23.5054,91.1133,noorlabib@iut-dhaka.edu,01886709707
"Muradnagar Police Station","Cumilla","Chattogram",23.5332,91.2300,noorlabib@iut-dhaka.edu,01886709707
"Daudkandi Police Station","Cumilla","Chattogram",23.3968,91.1305,noorlabib@iut-dhaka.edu,01886709707
"Chauddagram Police Station","Cumilla","Chattogram",23.4830,91.1376,noorlabib@iut-dhaka.edu,01886709707
"Brahmanpara Police Station","Cumilla","Chattogram",23.5090,91.1455,noorlabib@iut-dhaka.edu,01886709707
"Burichang Police Station","Cumilla","Chattogram",23.5275,91.2367,noorlabib@iut-dhaka.edu,01886709707
"Chandina Police Station","Cumilla","Chattogram",23.5110,91.1278,noorlabib@iut-dhaka.edu,01886709707
"Barura Police Station","Cumilla","Chattogram",23.5181,91.1767,noorlabib@iut-dhaka.edu,01886709707
"Monohargonj Police Station","Cumilla","Chattogram",23.5037,91.2341,noorlabib@iut-dhaka.edu,01886709707
"Homna Police Station","Cumilla","Chattogram",23.4369,91.1587,noorlabib@iut-dhaka.edu,01886709707
"Titas Police Station","Cumilla","Chattogram",23.5314,91.1247,noorlabib@iut-dhaka.edu,01886709707
"Meghna Police Station","Cumilla","Chattogram",23.4282,91.1131,noorlabib@iut-dhaka.edu,01886709707
"Nangalkot Police Station","Cumilla","Chattogram",23.4750,91.1684,noorlabib@iut-dhaka.edu,01886709707
"Sadar South Police Station","Cumilla","Chattogram",23.5333,91.2369,noorlabib@iut-dhaka.edu,01886709707
"Brahmanbaria Sadar Police Station","Brahmanbaria","Chattogram",23.9570,91.1119,noorlabib@iut-dhaka.edu,01886709707
"Ashuganj Police Station","Brahmanbaria","Chattogram",24.0035,91.1359,noorlabib@iut-dhaka.edu,01886709707
"Nasirnagar Police Station","Brahmanbaria","Chattogram",23.8849,91.0658,noorlabib@iut-dhaka.edu,01886709707
"Nabinagar Police Station","Brahmanbaria","Chattogram",23.9012,91.0496,noorlabib@iut-dhaka.edu,01886709707
"Sarail Police Station","Brahmanbaria","Chattogram",23.9754,91.0389,noorlabib@iut-dhaka.edu,01886709707
"Shahbazpur Police Station","Brahmanbaria","Chattogram",23.9018,91.0371,noorlabib@iut-dhaka.edu,01886709707
"Kasba Police Station","Brahmanbaria","Chattogram",23.9407,91.0531,noorlabib@iut-dhaka.edu,01886709707
"Akhaura Police Station","Brahmanbaria","Chattogram",23.9363,91.1850,noorlabib@iut-dhaka.edu,01886709707
"Bancharampur Police Station","Brahmanbaria","Chattogram",23.9457,91.1828,noorlabib@iut-dhaka.edu,01886709707
"Bijoynagar Police Station","Brahmanbaria","Chattogram",24.0150,91.1661,noorlabib@iut-dhaka.edu,01886709707
"Chandpur Sadar Police Station","Chandpur","Chattogram",23.2333,90.6667,noorlabib@iut-dhaka.edu,01886709707
"Faridganj Police Station","Chandpur","Chattogram",23.1714,90.6040,noorlabib@iut-dhaka.edu,01886709707
"Haimchar Police Station","Chandpur","Chattogram",23.1779,90.6645,noorlabib@iut-dhaka.edu,01886709707
"Haziganj Police Station","Chandpur","Chattogram",23.2351,90.6491,noorlabib@iut-dhaka.edu,01886709707
"Kachua Police Station","Chandpur","Chattogram",23.2672,90.6060,noorlabib@iut-dhaka.edu,01886709707
"Matlab North Police Station","Chandpur","Chattogram",23.1980,90.7360,noorlabib@iut-dhaka.edu,01886709707
"Matlab South Police Station","Chandpur","Chattogram",23.2698,90.6445,noorlabib@iut-dhaka.edu,01886709707
"Shahrasti Police Station","Chandpur","Chattogram",23.1949,90.7255,noorlabib@iut-dhaka.edu,01886709707
"Feni Sadar Police Station","Feni","Chattogram",23.0186,91.3966,noorlabib@iut-dhaka.edu,01886709707
"Daganbhuiyan Police Station","Feni","Chattogram",23.0273,91.4239,noorlabib@iut-dhaka.edu,01886709707
"Sonagazi Police Station","Feni","Chattogram",22.9779,91.3551,noorlabib@iut-dhaka.edu,01886709707
"Chhagalnaiya Police Station","Feni","Chattogram",22.9529,91.3758,noorlabib@iut-dhaka.edu,01886709707
"Parshuram Police Station","Feni","Chattogram",22.9857,91.3272,noorlabib@iut-dhaka.edu,01886709707
"Fulgazi Police Station","Feni","Chattogram",23.0826,91.4345,noorlabib@iut-dhaka.edu,01886709707
"Noakhali Sadar Police Station","Noakhali","Chattogram",22.8696,91.0993,noorlabib@iut-dhaka.edu,01886709707
"Begumganj Police Station","Noakhali","Chattogram",22.9366,91.1613,noorlabib@iut-dhaka.edu,01886709707
"Chatkhil Police Station","Noakhali","Chattogram",22.8324,91.1039,noorlabib@iut-dhaka.edu,01886709707
"Companiganj Police Station","Noakhali","Chattogram",22.9235,91.0413,noorlabib@iut-dhaka.edu,01886709707
"Hatiya Police Station","Noakhali","Chattogram",22.9319,91.0392,noorlabib@iut-dhaka.edu,01886709707
"Senbagh Police Station","Noakhali","Chattogram",22.9420,91.0955,noorlabib@iut-dhaka.edu,01886709707
"Sonaimuri Police Station","Noakhali","Chattogram",22.9400,91.0484,noorlabib@iut-dhaka.edu,01886709707
"Subarnachar Police Station","Noakhali","Chattogram",22.8360,91.1404,noorlabib@iut-dhaka.edu,01886709707
"Kabirhat Police Station","Noakhali","Chattogram",22.8095,91.1239,noorlabib@iut-dhaka.edu,01886709707
"Lakshmipur Sadar Police Station","Lakshmipur","Chattogram",22.9424,90.8411,noorlabib@iut-dhaka.edu,01886709707
"Raipur Police Station","Lakshmipur","Chattogram",22.9532,90.8174,noorlabib@iut-dhaka.edu,01886709707
"Ramganj Police Station","Lakshmipur","Chattogram",22.8798,90.8639,noorlabib@iut-dhaka.edu,01886709707
"Ramgati Police Station","Lakshmipur","Chattogram",22.9195,90.8812,noorlabib@iut-dhaka.edu,01886709707
"Kamalnagar Police Station","Lakshmipur","Chattogram",22.8874,90.8626,noorlabib@iut-dhaka.edu,01886709707
"Khagrachhari Sadar Police Station","Khagrachhari","Chattogram",23.1192,91.9841,noorlabib@iut-dhaka.edu,01886709707
"Dighinala Police Station","Khagrachhari","Chattogram",23.1514,91.9119,noorlabib@iut-dhaka.edu,01886709707
"Panchhari Police Station","Khagrachhari","Chattogram",23.1606,92.0177,noorlabib@iut-dhaka.edu,01886709707
"Laxmichhari Police Station","Khagrachhari","Chattogram",23.1591,92.0164,noorlabib@iut-dhaka.edu,01886709707
"Mahalchhari Police Station","Khagrachhari","Chattogram",23.0986,91.9422,noorlabib@iut-dhaka.edu,01886709707
"Manikchhari Police Station","Khagrachhari","Chattogram",23.1279,92.0513,noorlabib@iut-dhaka.edu,01886709707
"Ramgarh Police Station","Khagrachhari","Chattogram",23.1550,91.9497,noorlabib@iut-dhaka.edu,01886709707
"Matiranga Police Station","Khagrachhari","Chattogram",23.1615,92.0562,noorlabib@iut-dhaka.edu,01886709707
"Guimara Police Station","Khagrachhari","Chattogram",23.0548,92.0108,noorlabib@iut-dhaka.edu,01886709707
"Rangamati Sadar Police Station","Rangamati","Chattogram",22.6533,92.1789,noorlabib@iut-dhaka.edu,01886709707
"Belaichhari Police Station","Rangamati","Chattogram",22.5861,92.2363,noorlabib@iut-dhaka.edu,01886709707
"Bagaichhari Police Station","Rangamati","Chattogram",22.6521,92.1061,noorlabib@iut-dhaka.edu,01886709707
"Barkal Police Station","Rangamati","Chattogram",22.7165,92.1251,noorlabib@iut-dhaka.edu,01886709707
